"DiamondLogId";"UniqueUserId";"DiamondTotal";"PaymentType";"DiamondUsage";"UsageDate"
"de2ec15a-b00c-4d85-9d8d-920f9c9c073f";"127";"5";"charge";"Aptitude test reservation";"2019-11-13 10:07:55"
"de9567ef-b19e-4d3f-8d4e-938386a84c52";"7";"0";"charge";"tes";"2019-12-30 08:33:41"
"dee8d171-05b0-45c2-9c58-5d315e2d27ea";"129";"0";"charge";"Pending Tryout Registration: TryOut UTBK 2020 #3 - Soshum STG de9b4a69-865b-497a-87b5-90cfcff42ea6";"2019-12-13 13:07:26"
"df35dff7-d8af-46bc-a5a5-62b218306be3";"135";"10";"charge";"Konseling 1on1 reservation";"2019-11-15 09:38:48"
"dfb1e920-6da0-4c4f-b6a9-e93a6d7b4975";"150";"0";"charge";"Pending Tryout Registration: TryOut UTBK 2020 #3 - Saintek STG 2adb73ac-f35e-4657-9c09-8db9cc02c1a4";"2020-01-02 10:09:09"
"dffceba7-16ee-49ba-8a86-79017f50baab";"135";"5";"charge";"Manual Booking: Konseling 1on1";"2019-12-11 07:25:22"
"e0289799-6ab9-4166-a216-55b061b12058";"127";"10";"charge";"Konseling 1on1 reservation";"2019-10-28 05:16:23"
"e122650b-1906-4c40-803c-52abff573285";"120";"5";"topup";NULL;"2019-10-13 03:10:42"
"e1623101-f7a5-4d14-a61f-0b6bba83b7f0";"104";"3";"charge";"Full Tryout Registration: TryOut UTBK 2020 #3 - Saintek STG 2adb73ac-f35e-4657-9c09-8db9cc02c1a4";"2019-12-30 03:50:49"
"e1663eaf-3f51-4135-90b0-c63f87af27cb";"127";"5";"charge";"Aptitude test reservation";"2019-11-25 09:34:42"
"e21d5aa1-d314-4484-bb78-c38694d85c03";"127";"10";"charge";"Konseling 1on1 reservation";"2019-10-28 09:55:37"
"e39682e4-ba50-47eb-a1d5-99339f934381";"127";"5";"charge";"Aptitude test reservation";"2019-11-25 07:40:59"
"e3b3a2a8-4a14-4733-9130-2be9382b0a6f";"128";"5";"charge";"Video Tryout Registration: TryOut UTBK 2020 #1 - Saintek STG 66bf941f-17f7-4c60-b330-b8a9b5fe4be4";"2019-12-25 19:13:16"
"e465a977-e84a-4449-bb44-b9705642b533";"24";"5";"topup";NULL;"2019-10-13 03:10:32"
"e4a4acea-91b6-4a26-adbd-ee1215a34648";"131";"5";"topup";NULL;"2019-10-13 03:10:48"
