"UniqueUserActionId";"UserActionCreatedDate";"UniqueTransactionId";"UserId";"UniqueActionPackageId"
"1ee310f8-cd40-4572-8348-9ffd6ae02f66";"2019-10-12 19:13:25";NULL;"44";"021ca281-b694-43e8-936a-9cbf98cbbdce"
"1f413384-55f4-47a3-8539-38de0a3eab1c";"2019-10-12 19:41:50";NULL;"9";"1cb3dfd6-eb8a-42ca-8f72-56fc95f78f82"
"1f4d28df-1c14-41aa-a56a-e838a9a1facf";"2019-10-13 11:33:09";NULL;"25";"021ca281-b694-43e8-936a-9cbf98cbbdce"
"1f61a03b-b71e-4bd2-be21-9106f97735e5";"2019-12-03 18:26:22";"1652a4d1-0c44-4f77-bce6-5f3118254d72";"123";"9e7135ca-753b-4e5b-bff1-c27d45d1fe85"
"1fbd2db6-743f-41ac-995a-12adc65166ea";"2019-07-03 09:52:51";"1281395659354953";"12";"f623443a-d9cf-4302-97da-d29fd2696997"
"20335486-758c-4b36-905d-208dad25b255";"2019-10-12 19:13:23";NULL;"9";"021ca281-b694-43e8-936a-9cbf98cbbdce"
"20db13b6-c9b8-4e1d-a8a8-2a0e89620f9a";"2019-07-03 09:21:44";"1281395659354953";"12";"f623443a-d9cf-4302-97da-d29fd2696997"
"213eb980-1274-4ab3-b686-87ebe791072a";"2019-10-12 19:13:23";NULL;"24";"021ca281-b694-43e8-936a-9cbf98cbbdce"
"2176ce5d-0d23-45e8-8819-35ed64c805c1";"2019-07-10 15:02:53";NULL;"108";"d2961f68-9350-4b2b-939a-474bad8dc928"
"25a89b48-c30a-4ce7-b6b4-c06f953b3924";"2019-10-13 10:10:48";NULL;"131";"1cb3dfd6-eb8a-42ca-8f72-56fc95f78f82"
"265d3247-73e5-4c6c-8796-9ea5fd1d3ee0";"2019-07-03 10:57:50";"1281575659354987";"7";"f623443a-d9cf-4302-97da-d29fd2696997"
"276d314f-6728-4996-83ed-bb9b741af626";"2019-10-12 19:13:27";NULL;"75";"021ca281-b694-43e8-936a-9cbf98cbbdce"
